TipoFamilia,Sucursal,Descripción_Canal,AÑO,MES,Nombre_Empl,Apellido_Empl,TotalVentas
BASES,Cabildo,Presencial,2020,9,Luis,Melano,22600.0
BASES,Cabildo,Presencial,2020,9,Jorge,Zea,22600.0
INFORMATICA,Caseros,OnLine,2020,9,Mariana,Diaz,21034.86
INFORMATICA,Palermo 1,OnLine,2020,9,Patricia,Diez,21034.86
INFORMATICA,Vicente Lopez,OnLine,2020,9,Paula,Diaz,21034.86
INFORMATICA,Caseros,OnLine,2020,9,Jeronimo,Burgos,21034.86
INFORMATICA,Flores,OnLine,2020,9,Catalina,Osorio,20826.96
ESTUCHERIA,Flores,OnLine,2020,9,Gabriel,Rodas,20742.0
INFORMATICA,Palermo 2,OnLine,2020,9,Julian,Duque,19709.579999999998
INFORMATICA,Vicente Lopez,Presencial,2020,9,Paula,Diaz,19709.579999999998
ESTUCHERIA,Rosario1,Telefónica,2020,9,Sara,Palacio,19060.0
INFORMATICA,Rosario2,OnLine,2020,9,Lisa,Toledo,17407.28
INFORMATICA,Rosario1,OnLine,2020,9,Juan,Bermudez,17407.28
INFORMATICA,Velez,OnLine,2020,9,Javier,Castro,17308.72
ESTUCHERIA,MDQ1,OnLine,2020,9,Alicia,Carmona,16988.0
ESTUCHERIA,Moron,Telefónica,2020,9,Jorge,Idarraga,16946.0
INFORMATICA,Quilmes,OnLine,2020,9,Santiago,Idarraga,16068.14
INFORMATICA,Quilmes,OnLine,2020,9,Carlos,Restrepo,16068.14
ESTUCHERIA,Palermo 2,OnLine,2020,9,Alexandra,Guerrero,15884.7
ESTUCHERIA,Palermo 2,OnLine,2020,9,Cristina,Cock,15884.7
ESTUCHERIA,Caballito,OnLine,2020,9,Hilda,Rodriguez,15730.0
ESTUCHERIA,San Isidro,OnLine,2020,9,Elena,Mota,15540.0
GAMING,Palermo 2,Telefónica,2020,9,Alexandra,Guerrero,15420.0
GAMING,Palermo 2,Telefónica,2020,9,Cristina,Cock,15420.0
ESTUCHERIA,Deposito,OnLine,2020,9,Marcela,Marquez,14463.0
ESTUCHERIA,Quilmes,OnLine,2020,9,Isabella,Simanca,14157.7
ESTUCHERIA,Córdoba Centro,OnLine,2020,9,Elena,Arroyave,14094.0
INFORMATICA,Lanus,Telefónica,2020,9,Karina,Berrio,14023.24
INFORMATICA,Corrientes,OnLine,2020,9,Gustavo,Mendez,14023.24
ESTUCHERIA,Palermo 1,OnLine,2020,9,José,Mendez,13723.0
ESTUCHERIA,Caseros,OnLine,2020,9,Marcela,De santis,13553.0
ESTUCHERIA,Córdoba Quiroz,OnLine,2020,9,Karina,Marquez,13336.0
ESTUCHERIA,Córdoba Quiroz,OnLine,2020,9,Paula,Cock,13336.0
INFORMATICA,Córdoba Centro,Telefónica,2020,9,Elena,Arroyave,13139.72
INFORMATICA,Cerro de las Rosas,OnLine,2020,9,Isabella,Medina,13139.72
INFORMATICA,Mendoza2,OnLine,2020,9,Catalina,Aristizabal,13139.72
ESTUCHERIA,Castelar,OnLine,2020,9,Lisa,Guerra,12919.0
ESTUCHERIA,Cabildo,OnLine,2020,9,Luis,Melano,12852.0
ESTUCHERIA,Cabildo,OnLine,2020,9,Jorge,Zea,12852.0
ESTUCHERIA,Quilmes,OnLine,2020,9,Carla,Pulgarin,12432.0
ESTUCHERIA,Lanus,OnLine,2020,9,Jessica,De santis,12423.0
ESTUCHERIA,Mendoza2,Telefónica,2020,9,Susana,Suarez,12375.0
ESTUCHERIA,Cabildo,OnLine,2020,9,Camilo,Berrio,12218.0
INFORMATICA,Flores,OnLine,2020,9,Sandra,Cano,12097.8
ESTUCHERIA,Caseros,OnLine,2020,9,Daniela,Franco,12089.0
INFORMATICA,Alberdi,Telefónica,2020,9,David,Jaramillo,12086.58
IMPRESIÓN,Almagro,Telefónica,2020,9,Simón,Gracía,11960.0
ESTUCHERIA,San Isidro,Presencial,2020,9,Elena,Mota,11934.0
ESTUCHERIA,Córdoba Quiroz,Telefónica,2020,9,Carlos,Jimenez,11838.0
ESTUCHERIA,Almagro,Presencial,2020,9,Amalia,Gutierrez,11517.0
ESTUCHERIA,Córdoba Centro,Telefónica,2020,9,Oscar,Jaramillo,11517.0
ESTUCHERIA,Flores,Telefónica,2020,9,Camila,Dominguez,11433.0
ESTUCHERIA,Vicente Lopez,Presencial,2020,9,Sofia,Cano,11289.0
ESTUCHERIA,Moron,OnLine,2020,9,Gloria,Tamayo,11216.0
GABINETES,Rosario2,Telefónica,2020,9,Sofia,Acevedo,11088.0
GABINETES,Corrientes,OnLine,2020,9,Maritza,Muñoz,11088.0
GABINETES,Corrientes,OnLine,2020,9,Manuela,Casadiegos,11088.0
INFORMATICA,Córdoba Centro,OnLine,2020,9,Andrés,Vergara,10980.42
ESTUCHERIA,Vicente Lopez,OnLine,2020,9,Felipe,Dominguez,10860.0
BASES,Velez,OnLine,2020,9,Tomas,Arias,10840.0
ESTUCHERIA,Rosario1,Telefónica,2020,9,Juan,Bermudez,10335.0
ESTUCHERIA,Cerro de las Rosas,OnLine,2020,9,Carla,Betancur,10190.0
IMPRESIÓN,Moron,OnLine,2020,9,Brenda,Aguirre,9960.0
INFORMATICA,Moron,OnLine,2020,9,Jorge,Idarraga,9959.84
ESTUCHERIA,La Plata,Telefónica,2020,9,Diana,Peláez,9842.0
GABINETES,Velez,OnLine,2020,9,David,Gracía,9728.4
ESTUCHERIA,Palermo 2,OnLine,2020,9,Diana,Caro,9665.0
IMPRESIÓN,Alberdi,OnLine,2020,9,Jeronimo,Duque,9660.0
ESTUCHERIA,Flores,Telefónica,2020,9,Jacobo,Bustos,9630.0
ESTUCHERIA,Córdoba Quiroz,OnLine,2020,9,Gonzalo,Florez,9630.0
ESTUCHERIA,Caballito,OnLine,2020,9,Pamela,Serna,9629.0
INFORMATICA,La Plata,OnLine,2020,9,Leonardo,Uribe,9583.64
ESTUCHERIA,Caballito,OnLine,2020,9,Victoria,Hincapie,9428.0
ESTUCHERIA,Castelar,OnLine,2020,9,Melina,Acevedo,9359.0
INFORMATICA,San Justo,OnLine,2020,9,Alicia,Perez,9214.92
INFORMATICA,Rosario2,Telefónica,2020,9,Sofia,Acevedo,9170.26
INFORMATICA,MDQ2,OnLine,2020,9,Camila,Girando,9156.4
INFORMATICA,Castelar,Presencial,2020,9,Jesus,Bermudez,9117.24
ESTUCHERIA,La Plata,OnLine,2020,9,Juliana,Ospina,9080.0
ESTUCHERIA,Bariloche,Presencial,2020,9,Sandra,Gomez,9003.0
ESTUCHERIA,Velez,OnLine,2020,9,Javier,Castro,8922.0
ESTUCHERIA,Caballito,Telefónica,2020,9,Victoria,Hincapie,8901.0
ESTUCHERIA,Mendoza2,Telefónica,2020,9,Catalina,Dominguez,8745.0
ESTUCHERIA,Cerro de las Rosas,OnLine,2020,9,Victoria,Marquez,8600.0
ESTUCHERIA,Cerro de las Rosas,OnLine,2020,9,Evelyn,Palacio,8600.0
AUDIO,Palermo 2,Telefónica,2020,9,Maria,Lema,8539.74
AUDIO,La Plata,OnLine,2020,9,Leonardo,Uribe,8539.74
AUDIO,San Justo,OnLine,2020,9,Leonardo,Vasquez,8539.74
ESTUCHERIA,Caballito,OnLine,2020,9,Gonzalo,Betancur,8486.0
BASES,Rosario2,OnLine,2020,9,Hernán,Salamanca,8441.0
ESTUCHERIA,Córdoba Centro,OnLine,2020,9,Dinora,Henao,8358.0
ESTUCHERIA,Córdoba Centro,OnLine,2020,9,Raquel,Uribe,8358.0
ESTUCHERIA,Córdoba Centro,OnLine,2020,9,Carolina,Muñoz,8358.0
ESTUCHERIA,Cerro de las Rosas,Telefónica,2020,9,Carla,Betancur,8282.0
ESTUCHERIA,Palermo 2,OnLine,2020,9,Manuela,Casadiegos,8277.0
ESTUCHERIA,Palermo 2,OnLine,2020,9,Maritza,Muñoz,8277.0
ESTUCHERIA,Alberdi,OnLine,2020,9,Eliana,Sanchez,8247.0
ESTUCHERIA,Vicente Lopez,OnLine,2020,9,Sofia,Cano,8242.0
ESTUCHERIA,Rosario1,OnLine,2020,9,José,Vallejo,8060.0
INFORMATICA,Cabildo,OnLine,2020,9,Sergio,Posada,8034.18
INFORMATICA,Cabildo,OnLine,2020,9,Isabella,Marquez,8034.18
ESTUCHERIA,MDQ2,OnLine,2020,9,Cathy,Sierra,8029.0
ESTUCHERIA,Rosario1,OnLine,2020,9,Luis,Sierra,7977.0
ESTUCHERIA,Castelar,OnLine,2020,9,Tatiana,Arango,7956.0
ESTUCHERIA,Cerro de las Rosas,OnLine,2020,9,Isabella,Medina,7956.0
ESTUCHERIA,Rosario2,Telefónica,2020,9,Ana Maria,Arango,7912.0
ESTUCHERIA,Palermo 2,Telefónica,2020,9,Diana,Caro,7790.0
ESTUCHERIA,Caballito,OnLine,2020,9,Sergio,Posada,7678.0
ESTUCHERIA,Caballito,OnLine,2020,9,Isabella,Marquez,7678.0
INFORMATICA,Palermo 2,Presencial,2020,9,Dalia,Lemos,7662.599999999999
INFORMATICA,MDQ2,OnLine,2020,9,Mariana,Guerrero,7662.599999999999
INFORMATICA,Palermo 2,Telefónica,2020,9,Diana,Caro,7194.44
INFORMATICA,Vicente Lopez,OnLine,2020,9,Jesus,Hernandez,7194.44
IMPRESIÓN,Vicente Lopez,OnLine,2020,9,Alejandra,Gomez,7189.0
INFORMATICA,Velez,OnLine,2020,9,Santiago,Peppe,7157.48
ESTUCHERIA,Córdoba Quiroz,OnLine,2020,9,Juan,Rodas,7098.0
ESTUCHERIA,Almagro,OnLine,2020,9,Amalia,Gutierrez,7098.0
ESTUCHERIA,Córdoba Quiroz,OnLine,2020,9,Julieta,Rico,7098.0
ESTUCHERIA,Vicente Lopez,Telefónica,2020,9,Patricia,Ruiz,7098.0
INFORMATICA,Flores,OnLine,2020,9,Mauricio,Arango,6971.36
ESTUCHERIA,San Justo,OnLine,2020,9,Dinara,Lopez,6843.0
ESTUCHERIA,Castelar,OnLine,2020,9,Sara,Vallejo,6843.0
INFORMATICA,Deposito,Telefónica,2020,9,Rafael,Mendez,6747.84
INFORMATICA,Lanus,OnLine,2020,9,Gustavo,Cortes,6747.84
INFORMATICA,Deposito,OnLine,2020,9,Daniela,Rico,6726.72
ESTUCHERIA,Flores,OnLine,2020,9,Jacobo,Bustos,6723.0
INFORMATICA,Mendoza1,OnLine,2020,9,Barbara,Serna,6711.54
ESTUCHERIA,Cabildo,OnLine,2020,9,Javier,Santana,6590.0
INFORMATICA,Rosario2,Telefónica,2020,9,Hernán,Salamanca,6569.86
ESTUCHERIA,Bariloche,OnLine,2020,9,Evelyn,Bustos,6437.0
ESTUCHERIA,Bariloche,OnLine,2020,9,Catalina,Vallejo,6437.0
ESTUCHERIA,Caseros,OnLine,2020,9,Rafael,Cortes,6420.0
ESTUCHERIA,Vicente Lopez,OnLine,2020,9,Sara,Osorio,6420.0
INFORMATICA,Castelar,OnLine,2020,9,Luisa,Sierra,6412.12
INFORMATICA,Córdoba Centro,OnLine,2020,9,Elena,Arroyave,6412.12
INFORMATICA,Moron,OnLine,2020,9,Alberto,Peláez,6412.12
INFORMATICA,Mendoza1,OnLine,2020,9,Leonardo,Zapata,6412.12
INFORMATICA,Avellaneda,Presencial,2020,9,Julieta,Arias,6412.12
INFORMATICA,Bariloche,OnLine,2020,9,Sandra,Gomez,6355.14
ESTUCHERIA,Córdoba Quiroz,OnLine,2020,9,Lina,Mendez,6340.0
INFORMATICA,Rosario2,OnLine,2020,9,Sofia,Acevedo,6318.18
INFORMATICA,Corrientes,OnLine,2020,9,Andrés,Peláez,6299.700000000001
ESTUCHERIA,Cerro de las Rosas,Telefónica,2020,9,Pablo,Molina,6279.0
INFORMATICA,Rosario2,OnLine,2020,9,Ana Maria,Arango,6234.58
INFORMATICA,Mendoza2,OnLine,2020,9,Camila,Hoyos,6176.280000000001
INFORMATICA,Córdoba Centro,OnLine,2020,9,Jacobo,Guerra,6048.9
INFORMATICA,Córdoba Centro,OnLine,2020,9,Marisa,Caro,6048.9
ESTUCHERIA,Mendoza1,Telefónica,2020,9,Dinora,Henao,6002.0
ESTUCHERIA,Mendoza1,Telefónica,2020,9,Carolina,Muñoz,6002.0
ESTUCHERIA,Flores,Telefónica,2020,9,Gabriel,Rodas,6002.0
ESTUCHERIA,Mendoza1,Telefónica,2020,9,Raquel,Uribe,6002.0
ESTUCHERIA,Córdoba Quiroz,OnLine,2020,9,Alejandra,Gracía,5948.0
ESTUCHERIA,San Isidro,Telefónica,2020,9,Oscar,Posada,5948.0
ESTUCHERIA,La Plata,OnLine,2020,9,Manuel,Arango,5942.0
VARIOS,Mendoza1,Telefónica,2020,9,Juliana,Toro,5880.0
IMPRESIÓN,Velez,OnLine,2020,9,Luis,Hoyos,5773.0
GABINETES,Córdoba Centro,OnLine,2020,9,Elena,Arroyave,5722.86
GABINETES,San Isidro,Telefónica,2020,9,Sebastian,Perez,5722.86
INFORMATICA,San Isidro,OnLine,2020,9,Sebastian,Perez,5615.28
INFORMATICA,Mendoza2,Telefónica,2020,9,Catalina,Aristizabal,5605.6
INFORMATICA,San Justo,Telefónica,2020,9,Barbara,Henao,5605.6
INFORMATICA,Rosario1,Presencial,2020,9,Natalia,Arango,5605.6
INFORMATICA,Rosario1,Presencial,2020,9,Tomas,Guerrero,5605.6
INFORMATICA,La Plata,OnLine,2020,9,Pamela,Diaz,5605.6
INFORMATICA,Lanus,OnLine,2020,9,Karina,Berrio,5604.06
ESTUCHERIA,Velez,OnLine,2020,9,Antonio,Zerra,5587.0
ESTUCHERIA,Mendoza1,OnLine,2020,9,Raquel,Uribe,5578.0
ESTUCHERIA,Mendoza1,OnLine,2020,9,Dinora,Henao,5578.0
ESTUCHERIA,Mendoza1,OnLine,2020,9,Carolina,Muñoz,5578.0
ESTUCHERIA,Mendoza1,Telefónica,2020,9,Manuel,Rojas,5578.0
ESTUCHERIA,MDQ2,OnLine,2020,9,Camila,Girando,5572.0
ESTUCHERIA,Palermo 1,OnLine,2020,9,Santiago,Jaramillo,5572.0
ESTUCHERIA,Vicente Lopez,OnLine,2020,9,Paula,Diaz,5572.0
IMPRESIÓN,Córdoba Centro,OnLine,2020,9,Marisa,Caro,5534.0
IMPRESIÓN,Córdoba Centro,OnLine,2020,9,Jacobo,Guerra,5534.0
INFORMATICA,Velez,OnLine,2020,9,Antonio,Zerra,5507.26
ESTUCHERIA,Palermo 2,Telefónica,2020,9,Maria,Lema,5498.0
ESTUCHERIA,MDQ2,OnLine,2020,9,Evelyn,Bustos,5482.0
ESTUCHERIA,Palermo 2,OnLine,2020,9,Juan,Arango,5482.0
ESTUCHERIA,MDQ2,OnLine,2020,9,Catalina,Vallejo,5482.0
AUDIO,Cabildo,OnLine,2020,9,Jorge,Zea,5431.14
AUDIO,Cabildo,OnLine,2020,9,Luis,Melano,5431.14
ESTUCHERIA,Lanus,Telefónica,2020,9,Gustavo,Cortes,5367.0
ESTUCHERIA,Rosario2,OnLine,2020,9,Alejandra,Bermudez,5367.0
ESTUCHERIA,Caballito,Telefónica,2020,9,Pamela,Serna,5358.0
INFORMATICA,Rosario2,OnLine,2020,9,Paula,Cock,5353.26
INFORMATICA,Rosario2,OnLine,2020,9,Karina,Marquez,5353.26
INFORMATICA,Moron,OnLine,2020,9,Angelica,Pulgarin,5353.26
ESTUCHERIA,Velez,OnLine,2020,9,José,Suarez,5322.0
ESTUCHERIA,La Plata,OnLine,2020,9,Pamela,Diaz,5295.0
ESTUCHERIA,Cabildo,Telefónica,2020,9,Francisco,Arias,5295.0
ESTUCHERIA,Mendoza2,OnLine,2020,9,Catalina,Dominguez,5206.0
INFORMATICA,Mendoza1,OnLine,2020,9,Alicia,Castrillón,5115.0
INFORMATICA,Rosario2,OnLine,2020,9,Daniel,Granda,5108.4
INFORMATICA,Rosario2,OnLine,2020,9,Luisa,Marulanda,5108.4
ESTUCHERIA,San Justo,OnLine,2020,9,Stepania,Zapata,5108.0
GABINETES,Castelar,Presencial,2020,9,Sara,Vallejo,5019.52
ESTUCHERIA,Avellaneda,OnLine,2020,9,Carlos,Restrepo,4962.0
ESTUCHERIA,Avellaneda,OnLine,2020,9,Santiago,Idarraga,4962.0
ESTUCHERIA,Velez,OnLine,2020,9,Karen,Gomez,4912.0
ESTUCHERIA,Cerro de las Rosas,Presencial,2020,9,Pamela,Rodriguez,4912.0
ESTUCHERIA,Moron,OnLine,2020,9,Alejandro,Simanca,4912.0
ESTUCHERIA,San Justo,OnLine,2020,9,Alicia,Perez,4796.0
INFORMATICA,Bariloche,OnLine,2020,9,Mariana,Ruiz,4792.26
INFORMATICA,Caballito,OnLine,2020,9,Hilda,Rodriguez,4792.26
ESTUCHERIA,Cabildo,OnLine,2020,9,Antonio,Merizalde,4710.0
INFORMATICA,Córdoba Quiroz,OnLine,2020,9,Simón,Osorio,4629.46
GAMING,Bariloche,OnLine,2020,9,Juan,Rodas,4626.0
GAMING,Avellaneda,OnLine,2020,9,Alejandra,Posada,4626.0
GAMING,Velez,OnLine,2020,9,David,Gracía,4626.0
GAMING,Bariloche,OnLine,2020,9,Julieta,Rico,4626.0
GRABACION,Palermo 1,OnLine,2020,9,Santiago,Jaramillo,4622.46
ESTUCHERIA,Córdoba Centro,OnLine,2020,9,Marisa,Caro,4562.0
ESTUCHERIA,Córdoba Centro,OnLine,2020,9,Jacobo,Guerra,4562.0
ESTUCHERIA,Caballito,Presencial,2020,9,Victoria,Hincapie,4500.0
ESTUCHERIA,Vicente Lopez,Telefónica,2020,9,Sara,Osorio,4482.0
ESTUCHERIA,Corrientes,Telefónica,2020,9,Carolina,Cano,4482.0
ESTUCHERIA,Palermo 2,OnLine,2020,9,Luisa,Granda,4444.0
ESTUCHERIA,Córdoba Quiroz,Presencial,2020,9,Melisa,Gomez,4434.0
ESTUCHERIA,Moron,OnLine,2020,9,Elena,Garces,4434.0
IMPRESIÓN,Mendoza1,OnLine,2020,9,Barbara,Serna,4370.0
IMPRESIÓN,Cabildo,Presencial,2020,9,Camilo,Berrio,4368.0
ESTUCHERIA,Palermo 2,Telefónica,2020,9,Isabel,Salamanca,4324.0
ESTUCHERIA,Palermo 2,OnLine,2020,9,Dalia,Lemos,4324.0
INFORMATICA,Lanus,Telefónica,2020,9,Jessica,De santis,4270.200000000001
INFORMATICA,MDQ1,OnLine,2020,9,Alicia,Carmona,4236.76
INFORMATICA,Flores,Presencial,2020,9,Catalina,Osorio,4236.76
INFORMATICA,Cabildo,OnLine,2020,9,Javier,Santana,4236.76
INFORMATICA,Castelar,Telefónica,2020,9,Roberta,Toledo,4197.6
INFORMATICA,Palermo 2,Presencial,2020,9,Amalia,Vergara,4099.26
INFORMATICA,Caballito,Presencial,2020,9,Gonzalo,Betancur,4099.26
INFORMATICA,Castelar,Presencial,2020,9,Luisa,Sierra,4099.26
ESTUCHERIA,Mendoza2,OnLine,2020,9,Susana,Suarez,4071.0
ESTUCHERIA,Palermo 2,Presencial,2020,9,Diana,Caro,4054.0499999999997
ESTUCHERIA,Rosario1,Presencial,2020,9,Daniel,Granda,4030.0
ESTUCHERIA,Rosario1,Presencial,2020,9,Luisa,Marulanda,4030.0
INFORMATICA,Flores,Telefónica,2020,9,Gabriel,Rodas,4028.86
ESTUCHERIA,Rosario1,OnLine,2020,9,Juan,Bermudez,3957.0
IMPRESIÓN,Velez,OnLine,2020,9,Santiago,Peppe,3956.0
INFORMATICA,Palermo 1,OnLine,2020,9,Sebastian,Carmona,3923.26
IMPRESIÓN,Palermo 2,OnLine,2020,9,Ana,Jaramillo,3908.0
INFORMATICA,Cabildo,OnLine,2020,9,Francisco,Arias,3876.84
GRABACION,Palermo 2,OnLine,2020,9,Diana,Caro,3848.46
GRABACION,Córdoba Quiroz,OnLine,2020,9,Carlos,Jimenez,3848.46
INFORMATICA,Castelar,OnLine,2020,9,Cristina,Cock,3847.36
INFORMATICA,Flores,OnLine,2020,9,Susana,Ruiz,3847.36
INFORMATICA,Castelar,OnLine,2020,9,Alexandra,Guerrero,3847.36
GABINETES,Córdoba Centro,OnLine,2020,9,Julian,Lema,3815.24
INFORMATICA,Rosario1,OnLine,2020,9,David,Toledo,3638.36
INFORMATICA,Castelar,OnLine,2020,9,Sofia,Marulanda,3638.36
INFORMATICA,Rosario2,OnLine,2020,9,Carmen,Arango,3638.36
AUDIO,Flores,Telefónica,2020,9,Jacobo,Bustos,3620.76
AUDIO,MDQ2,OnLine,2020,9,Mariana,Guerrero,3620.76
INFORMATICA,Lanus,OnLine,2020,9,Samuel,Franco,3600.96
INFORMATICA,Castelar,OnLine,2020,9,Jesus,Bermudez,3600.96
INFORMATICA,Palermo 1,Telefónica,2020,9,Patricia,Diez,3600.96
INFORMATICA,Lanus,OnLine,2020,9,Julian,Burgos,3597.22
ESTUCHERIA,Corrientes,OnLine,2020,9,Karina,Jimenez,3578.0
ESTUCHERIA,MDQ1,OnLine,2020,9,Natalia,Ramirez,3573.0
INFORMATICA,Avellaneda,OnLine,2020,9,Monica,Santana,3568.84
"",Deposito,OnLine,2020,9,Jose,Cano,3560.0
ESTUCHERIA,Corrientes,OnLine,2020,9,Andrés,Peláez,3530.0
ESTUCHERIA,Cerro de las Rosas,OnLine,2020,9,Hilda,Betancurt,3530.0
ESTUCHERIA,Deposito,Presencial,2020,9,Camilo,Jimenez,3525.0
ESTUCHERIA,San Isidro,Telefónica,2020,9,Carmen,Vasquez,3477.0
ESTUCHERIA,Almagro,OnLine,2020,9,Carlos,Gomez,3477.0
ESTUCHERIA,Vicente Lopez,OnLine,2020,9,Patricia,Ruiz,3477.0
ESTUCHERIA,Caseros,Presencial,2020,9,Marcela,De santis,3462.0
ESTUCHERIA,Palermo 1,Telefónica,2020,9,Tomas,Ramirez,3445.0
ESTUCHERIA,Flores,OnLine,2020,9,Sandra,Cano,3445.0
INFORMATICA,Moron,OnLine,2020,9,Lucero,Diaz,3422.98
ESTUCHERIA,San Justo,OnLine,2020,9,Leonardo,Vasquez,3411.0
ESTUCHERIA,Rosario2,OnLine,2020,9,Hernán,Salamanca,3411.0
BASES,San Isidro,Presencial,2020,9,Oscar,Posada,3390.0
BASES,Rosario1,Telefónica,2020,9,Juan,Bermudez,3390.0
ESTUCHERIA,Palermo 1,OnLine,2020,9,Luis,Melano,3371.0
ESTUCHERIA,Palermo 1,OnLine,2020,9,Jorge,Zea,3371.0
ESTUCHERIA,Cerro de las Rosas,Telefónica,2020,9,Hilda,Betancurt,3363.0
ESTUCHERIA,Caballito,OnLine,2020,9,Karla,Molina,3363.0
IMPRESIÓN,Palermo 1,Presencial,2020,9,Felipe,Girando,3360.0
IMPRESIÓN,Velez,OnLine,2020,9,Karen,Gomez,3316.0
IMPRESIÓN,Córdoba Centro,Telefónica,2020,9,Sebastian,Lemos,3316.0
IMPRESIÓN,Flores,OnLine,2020,9,Mariana,Gomez,3316.0
ESTUCHERIA,Alberdi,OnLine,2020,9,Estefania,Muñoz,3308.0
INFORMATICA,Avellaneda,Telefónica,2020,9,Simón,Lemus,3285.48
INFORMATICA,Velez,Presencial,2020,9,Tomas,Arias,3285.48
ESTUCHERIA,Velez,OnLine,2020,9,David,Gracía,3282.0
INFORMATICA,Palermo 2,OnLine,2020,9,Maritza,Muñoz,3237.96
INFORMATICA,Corrientes,Presencial,2020,9,Karina,Jimenez,3237.96
INFORMATICA,Palermo 2,OnLine,2020,9,Manuela,Casadiegos,3237.96
IMPRESIÓN,Rosario1,OnLine,2020,9,Luis,Sierra,3201.0
GAMING,Velez,OnLine,2020,9,Francisco,Osorio,3176.0
IMPRESIÓN,MDQ2,OnLine,2020,9,Susana,Diez,3129.0
INFORMATICA,Córdoba Centro,OnLine,2020,9,Raquel,Uribe,3112.56
INFORMATICA,Córdoba Centro,OnLine,2020,9,Dinora,Henao,3112.56
INFORMATICA,Córdoba Centro,OnLine,2020,9,Carolina,Muñoz,3112.56
GAMING,Palermo 2,OnLine,2020,9,Monica,Arango,3084.0
GAMING,Quilmes,OnLine,2020,9,Hilda,Aguirre,3084.0
INFORMATICA,Cabildo,OnLine,2020,9,Virginia,Saldarriaga,3072.08
INFORMATICA,Cabildo,OnLine,2020,9,Federico,Arroyave,3072.08
ESTUCHERIA,Corrientes,Telefónica,2020,9,Andrés,Peláez,3012.0
ESTUCHERIA,Palermo 2,OnLine,2020,9,Maria,Lema,3012.0
ESTUCHERIA,Vicente Lopez,Presencial,2020,9,Luisa,Pailos,3012.0
ESTUCHERIA,Quilmes,OnLine,2020,9,Carlos,Restrepo,3004.0
ESTUCHERIA,Quilmes,OnLine,2020,9,Santiago,Idarraga,3004.0
ESTUCHERIA,Rosario1,Presencial,2020,9,Sandra,Marulanda,3004.0
ESTUCHERIA,Córdoba Quiroz,Presencial,2020,9,Juan,Rodas,3000.0
ESTUCHERIA,Córdoba Quiroz,Presencial,2020,9,Julieta,Rico,3000.0
ESTUCHERIA,Córdoba Centro,OnLine,2020,9,Miguel,Duque,2978.0
ESTUCHERIA,Rosario1,Telefónica,2020,9,Santiago,Diez,2956.0
GABINETES,Vicente Lopez,OnLine,2020,9,Lisa,Bustos,2917.2
ESTUCHERIA,Cabildo,OnLine,2020,9,David,Lemus,2915.0
ESTUCHERIA,Cabildo,OnLine,2020,9,Estefania,Villegas,2915.0
ESTUCHERIA,Palermo 2,OnLine,2020,9,Julian,Duque,2915.0
